questions,answers
asking for veterinary expert urgently,"veterinary expert was not available so contact no. of kvk dibrugarh is given
dr.hiranya bhattacharya-9435564391"
asked for veterinary expert,veterinary expert is not available
asking about nutritional management,"advised him to give viamol, calshakti, aau vetmin, fatomax, minfa gold , cofecu tablet"
04 jun rainfall(mm) : 0 temp(max/min):0  / 0  humidity(max/min)0  / 0  wind:0 ,04 jun rainfall(mm) : 0 temp(max/min):0  / 0  humidity(max/min)0  / 0  wind:0 
asking that the bank is not giving kcc loan and asking for reference,suggested to get a referal letter from the agricultural development officer
 query regarding  some wart like growth on skin in some chicken ," told him to apply wokadine solution over the area followed by interban cream , enrofloxacin [ enrocin ],neodex forte @ 1-2 gm / lits of water for 4-5 days "
asking about control of anthracnose,recomended him to apply amister @ 2ml/lit of water spray 3 time at 5 days interval
" query regarding  pig farming 










































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































query regarding feeding schedule for pig 
",  told him to follow -- the following schedule depending upon the age & weight of pig -- age 1-2 month [ weight ] 5-10 kg - 200-500 gm--- --2-3 m [  12-18 kg ]--500-1000 gm--- 3-4 m [18-25 kg]--1 kg-1250gm   --- 4-5 m [25-35kg]--1250-1500 5-6 m [35-55 m]--1500-2500 gm   6-7 m [ 55-70 kg] --2000-25000 gm
asking about control of leaf eating caterpillar,"recommended to spray malathion 50 ec @2ml/l water, 3 doses at 5 days interval"
asking about variety of okra,"variety: prabhani kranti, arka anamika"
asking about duck plague ,"advised him to give tetracycline powder @ 20 gm mixed with feed for 5 birds orally daily for 5 days, diarok powder @ 1 packt orally twice daily for 3 days"
asking about mastitis,"advised him to give percef @ 1 tube each teat intermarry, apply mastilap as an ointment at the udder  "
asking about the nutrient management of sali rice ,suggeted him to apply 2kg urea/ kotha and also apply fym @ 5kg/kotha
"asking about control of root rot
",recommended him to apply amister @ 1.5ml-2 ml/lit of water spray 3 time at 5 days interval
asking about transplanting time of ranjit variety in main field,told him that transplanting time of ranjit rice is july
asking about control of leaf spot in betelvine ,"recommended to spray agromycin @1mol/l water , 3 doses at 5 days interval"
query regarding anthracnose of betel vine.,told him to apply bordeaux mixture @ 10 g per liter of water.
asking about the cercospora leaf spot of betelvine,"suggested to apply bordeaux mixture @  10gm/l of water, 3  spray at 5 days interval"
asking about the planting time of bitter gourd,can go for planting  upto may to june last
asking about sowing season of cowpea,seasons- june-july
asking about sowing season of cowpea,seasons- june-july
asking for veterinary expert,veterinary is not available
asking for the veterinary expert.,"told him to wash the body coat with cutirose solution / inject catlogenta 10  ml & anistamin 10 ml as directed , apply  topicure spray on the body coat after application of cutirose ----  injection of anthiomalein  may require if the condition is not improve within 4-5 days "
 query  regarding  wart like growth ,"told him to wash the body coat with cutirose solution / inject catlogenta 10  ml & anistamin 10 ml as directed , apply  topicure spray on the body coat after application of cutirose ----  injection of anthiomalein  may require if the condition is not improve within 4-5 days "
asking for veterinary expert,veterinary expert not available
asking about control of gumosis,recommended him to apply saaf @ 2g/lit of water spray 3 time at 5 days interval
asking about npk 19 all dose,recommended him the dose npk 19 all @ 10g/lit of water spray twice 15 days
asking about the control of fly problem in ivy gourd,suggested him to spray malathion 50 ec @ 2ml/liter of water
asking about fertilizer  dose in rice,"told him to apply urea 10kg/bigha, ssp 6kg/bigha and mop 4 kg/bigha and urea in 3 splits, half at final land preparation, one at tillering and one at panicle initiation"
asking about online farmer registration issue ,suggested to contact with aea in block office since it is a departmental issue
 query regarding  a cow  showing the signs of inappitance ," told him to check the temperature , if it is more then 1 df , inject zeronac 10 ml -- 3 ml i/ m ly / inject pepsid or livogen or belamyl when temperature subside, orally floratone bolus est 30 gm as directed  "
 query regarding   a turkey," told him to give ors orally /  enrocin 1-1.5 gm orally daily for 4-5 days -- for 1 st half of the day ,2 nd half -- duaprim  as directed / metron suspension [ sos]"
 query regarding  a pregnant sow  [ feeds & diet ]," told him to give extra 500-1 kg of feed to the sow ,for the developing piglets, then the normal amount 2.5-3 kg .besides mineral mixture & vitamin should also be add to meet the demand during gestation  "
 query regarding some local chicken ," told him to give extra 500-1 kg of feed to the sow ,for the developing piglets, then the normal amount 2.5-3 kg .besides mineral mixture & vitamin should also be add to meet the demand during gestation  "
asking about control of gundhi bug and leaf curl disease ,"recommended to spray dimethoate 20 ec (rogor or tapgor) @2ml/l water , 3 doses at 5 days interval
also spray planofix @1ml/4.5l water at 8-10 days interval during flowering for better growth and fruit setting"
asking about control measure of fusarium wilt of chilli,told him to apply amistar @ 1.5 ml per litre of water
asking about time required from sowing to transplanting of ranjit sub1.,told him to transplant after 25 to 30 days after sowing.
asking about control of bacterial wilt in chilli,recommended him to  apply  streptocyclin @ 1g/5 lit of water spray 2 time at 7 days interval
asking about control measure of thrips in rice,told him to apply tricel 20 ec @ 2ml per litre of water
asking about fish mortality,"
told her to apply lime and kmno4"
  query regarding  a local pig showing the signs of debility , told  him  to give pepsid 10 ml - 2 ml i / v ly as directed 
asked for fishery expert,
asking about availability of jahaji banana suckers in dibrugarh,suggested to visit kvk dibrugarh- contact no. dr.hiranya bhattacharya-9435564391
asking about the control of wilt ,recommended to spray carbendazim or ridomil z 72 @2gm/l water 
asking about control of green leaf hopper,told him to apply tricel 20 ec @ 2ml/lit of water spray 3 time at 5 days interval
asking regarding making of kisan credit card,"suggested to visit any nationalised bank nearby like sbi,pnb,union bank"
asking about control against leaf miner in rice,"suggested to spray tricel @ 2ml/litre water,3 spray at an interval of 5 days"
asking about control of bacterial wilt in chilli.,told him to apply cristocycline @ 1 g per 5 liters of water.
asking about the control of fungal wilt.,told him to apply cristocycline @ 1 g per 5 liters of water.
blank call,
asking about the use of waste decomposer in the paddy field,step 1 : take one bottle of waste decomposer and mix it well in 200 l of water and 2 kg jaggery. keep the solution for a week. step 2 : after a week use the solution to spray at your farms/water your land.
asking about address of sibasagar kvk,"told him to contact dr. phuleswar nath phn no: 9954411012 : krishi vigyan kendra, sivasagar, rohdoi dhopabar via santak, pin: 785687"
asking about control of wilt in chillie,recommended to spray ridomil gold or contaf or bordeaux mixture as drenching of soil . spray for 3 day at 5 days interval. 
asking about address and contact details of kvk dibrugarh,"told him the address  romai kordoibam, assam 786010, contact details: 094358 46490"
asking about control measure of green leaf hopper,told him to apply tricel 20 ec @ 2 ml per litre of water
asking about kisan credit card,provided all necessary information regarding kisan credit card and also suggested to visit nearby nationalized bank for more information
asking about root rot in paddy ,recommended to spray bavistin @2gm/l water for 3 days at 5 days interval
asking about control of wilt in chillie ,"recommended to spray anucin or agromycin @2gm/l water for 3 days at 5 days interval against bacteria wilt

aslo spray saaf or ridomil gold @2gm/l water for 3 days at 5 days interval against fungal wilt"
asking  about the banana freckle leaf spot ,"suggestion=
apply bordeaux mixture to the whole banana plant,
method= 100 gm lime + 100 gm copper sulphate in 10 l of water in separate plastic bucket and sprayed it to the  whole field."
asking about address of kvk dibrugarh,"told him krishi vigyan kendra,  romai kordoibam, assam 786010
contact no: 094358 46490"
asking about the cercospora leaf spot of chilli,"suggestion=
apply amister top @ 2ml / l of water , 3 spray at 5 days interval or apply  saaf @ 2gm / l of water,  3 spray at 5 days interval.
antibiotic  streptomycin  @ 1gm / 5 l of water, 2 spray at 15 days interval"
asking about eel culture,suggested to ask kvk dr. hiryanya phon no.- 9435564391
asking about the mushroom cultivation,"told him to visit assam agricultural university , dept of plant pathology , for further details"
asking about vaccination schedule of pig ,"suggested to use the schedule and given as per vaccination schudule .  1. vaccinations
for major pig diseaese@vaccinate gilts at selection (2
shots), & re-vaccinate sows and
gilts 3-4 weeks before farrowing  ,dose 1 ml s/c and booster dose @4 -6 weeks as same dose"
asking about vaccine schedule of duck (age 2 days only ),"suggested to use the schedule and given as per vaccination schudule .  1. vaccinations
for major pig diseaese@vaccinate gilts at selection (2
shots), & re-vaccinate sows and
gilts 3-4 weeks before farrowing  ,dose 1 ml s/c and booster dose @4 -6 weeks as same dose"
asking about control of blight,recommended him to apply bordeux mixture @ 10g/lit of water spray 3 time at 3 days interval
 query regarding fertility of quail bird ,told him to give vitaplex 5-8 ml/ 100 quail  with drinking water / ostocalcium 5-8 ml / 100 bird  for 3-4 days & repeat the same after 4-5 days 
asking about the fishery training programme,told him to visit nearest kvk for training programme
asking about eel farming and removal of wolfia ,"for eel farming suggested to visit any fisheries ngo, icar, district fisheries office and kvk 
removal of wolfia chemical treatment - simazine @ 400 gram per bigha 
manulla removal is preferred and please stop falling of pig mannure into the pond for  1 month "
asking about eel farming," suggested to visit any nearby fisheries office , kvk, icar institute
"
asking about treatment of dysentry ,"date	rainfall
(mm)	temp
(max/min)	humidity 
(max/min)	wind
15 jul	0	0  / 0	0  / 0	0
16 jul	35.0	28.0  / 23.0	95.0  / 0	5.0
17 jul	7.0	32.0  / 24.0	79.0  / 0	3.0
18 jul	13.0	38.0  / 26.0	57.0  / 0	3.0
19 jul	34.0	39.0  / 28.0	54.0  / 0	2.0
20 jul	18.0	38.0  / 27.0	60.0  / 0	3.0"
asking about last date for pm kisan,told him that 15 july is the last date and for further information contact 01123381092
" query regarding     the breed of pig &  feed requirement for a finisher pig , including the contact number of dibrugarh kvk "," told him to raise the hapshire / saddle back/ land race breed // the average feed consumption of an adult pig is 3-3.5 kg / day  i.e 90-105 kg/ pig/ month  , the contact number for dibrugarh kvk is 9435564391 "
asking about feeding ( colachia),recommended to colachia are also feed of swine and also good source of feed
asking about control cercospora leaf spot,"recommended him to apply amister @ 2ml/lit of water spray 3 time at 5 days interval
antibiotic streptocyclin @ 1g/5 lit of water spray 2 time at 7-10 days interval"
asking about control of stem borer,told him to apply  tricel 20 ec @ 2ml/lit of water spray 3 time at 5 days interval
asking about the control measure of bacterial wilt and fungal wilt,suggested to spray saaf @ 2 g per lit of water for fungal wilt and agrimycine @ 1 g per 5 lit of water for bacterial wilt
asking about the control of  bacterial leaf blight in paddy.,told him to apply cristocycline @ 1 g per 5 liters of water.
asking about disease management ..sign circling of animal ,"recommended to suspected circling disease and also suggested to visit the district veterinary hospital and checkup then start treatment .1.xyrofur 1gm @sig to be inj 1 vial daily i/v for 3days 2,  avil 30 ml @ sig to be inj 7 ml daily i/m or i/v 3."
asking about the fertilizer requirement in paddy.,"recommended him to apply 10 kg urea in two split doses, 6 kg dap and 4 kg mop per bigha of land."
asking about nutritional feed for pig after parturition ,recommended to feed supplement 1. purjna or varaahar or gold coin or lowes swine  feed or country companion and also maize should be provided .2. grow b plex @ sig to be given 20 ml daily 
asking about control measure of rice tungro disease,suggested to spray chloropyriphos 20 ec @ 2 ml per lit of water 
asking about fertilizer dose for rice.,"suggested him to apply 5kg urea, 6kg dap and 4kg mop per bigha just before transplanting . then after 1 month of transplanting apply 2.5kg urea. and 3 months after transplanting apply 2.5kg urea."
asking about nutrient management in sali paddy,"told him to apply 6 kg urea, 3 kg ssp and 2 kg mop per bigha"
asking about english name of kopoh phul (assamese name),told him foxtail orchid
asking for veterinary expert.,asked him to contact us after 2 pm.
asking about control of bacterial leaf blight,told him to apply bordeaux mixture at 10g/lit of water spray 3 time at 5 days interval
asking about cultivation practice of ginger ,"told him the variety moran, spacing 25 x 15-10cm, fertilizer dose 3 kg/bigha, ssp 50 kg/bigha and 5 kg/bigha mop at the time of final land preparation and other 3 kg urea at 60 days after planting"
asking about diarrhea of piglet,recommended to diarroak powder  2 packet@ sig to be given 1/3 rd of packet twice daily for 3 days
asking about control measure of fruit dropping of citrus,"told him to apply planofix @ 1 g in 5 litres of water, twice at 15 days interval"
asking about increase milk in cow,"recommended to provided maize , green grass ,1. grow cal d3 @ sig to be given 20-30 ml daily orally 2. hexaliv @ sig to be given 15 ml daily orally before food"
asking about the areca palm nutrient management,"suggestion=
apply npk 19 all @ 10gm / l of water , 2 spray at 15 days interval"
asking about sowing time of black gram and green gram and contact no. of kvk dibrugarh ,"recommended sowing time for both black gram and green gram is from mid august to mid september

contact dr. hiranya bhattacharya ph.no/ 9435564391"
asking about the contact no. of kvk dibrugarh ,"told her address of kvk dibrugarh romai kordoibam p.o lahoal
ph.no. of programme coordinator is 9435564391"
 query regarding   some quail  bird , told him to give groviplex @ 3-4 ml / 50 quail 
query regarding japanese quail., told him to give groviplex @ 3-4 ml / 50 quail 
incomplete call, told him to give groviplex @ 3-4 ml / 50 quail 
asking about processing of cashew nut ,"told him to contact kvk, dibrugarh - dr. hiryanaya k. bhattacharyya - phone no. 9435564391"
asking about control measure of green leaf hopper in rice,"told him to apply tricel 20  ec @ 2 ml per litre of water, thrice at 4 days interval"
asking about control measure of chilli leaf curl virus,"told him to apply tricel 20  ec @ 2 ml per litre of water, thrice at 4 days interval"
asking about the bonsai method for the leteku plant,told him to visit nursery and kvk for the further details
asking about the root  rot of ridge gourd,"suggestion=
apply saaf @ 2 gm/ l of water, 3 spray at 5 days interval"
asking about grass suitable for feeding cattles,napier grass is ready for harvesting 3-4 months after planting and harvesting can continue at an interval of 6-8 weeks for 3 - 5 years. leave a stem length of 10 cm from the ground at harvesting
 query regarding  the directory of bull[ semen production ]," told him to collect the necessary information from director of animal husbandry govt . of assam, chenekuthi  , director  of research ,khanapara ghy, head of the department of lpm khanapara , ghy "
asking about feeding of pig  ,"recommended to  1. miscellaneous feeds which can be fed to pigs: swill (kitchen waste including left over of human food, vegetables, meat and fish cuttings): composition and quantity vary so greatly that it is difficult to indicate feeding values. it has been observed that pigs weighing 30 kg reached a body weight of 70 kg in 70 days when fed exclusively on kitchen waste. ensure that swill feed is not old and putrified. on an average 4 – 8 kg swill is needed per pig per day.other feeds used for feeding 2 .feeding of ofboars
a breeding boar requires 2-2.5 kg concentrate per 100 kg weight depending on the age, condition and breeding demand. feed allowances should be so adjusted that the pig is neither fatty nor run down. greens should be provided if kept indoors. year-round pasture is excellent if it could be provided from the stand point of providing both the needed exercise and valuable nutrients. 3. 
feeding of female
the demands resulting from pregnancy and need for conserving nutrients for ensuing lactation are accelerated during the later stage of pregnancy. the increased needs are for proteins, vitamins and minerals. 
mature sows gain 30-35 kg and gilts 40-45 kg during pregnancy. feed should be so regulated that sows and gilts are never over fat or thin. individual feeding is preferred. 
flushing is a practice of giving extra feed to sows and gilts from 1-2 weeks prior to mating and returns to normal feeding after mating.
"
asking about feeding management of pig ,recommended to colcucia should be given and also commercial feed godrej swine feed should be given   .....advice vaccination and deworming should be done
asking about nutrient management in paddy,told him to apply 5 kg urea and 3 kg mop per bigha as top dressing at 30 dat
asking about top dressing of urea,advised him to apply urea 5kg /bigha at this time then again top dress 3 kg at the time of panicle initiation
asking about control of fungal infection,recommended him to apply amister @ 1.5-2ml/lit of water spray 3 time at 5 days interval
wanted to know the name of hybrid variety of cowpea,advised him to use pusa barsati
asking about the fertilizer doses in paddy,"suggested him to apply urea-18kg, ssp-17kg and mop-9kg per bigha"
asking about control for stem borer in paddy,"suggested to spray tricel @ 2ml/litre water,3 sprays at an interval of 5 days"
asking about control measure of rice case worm,"told him to apply tricel 20 ec @ 2 ml per lit of water, thrice at 4 days interval"
asking about control of yellow stem borer in paddy ,"recommended to spray tricel 20ec @2ml/l water, 3 spray at 5 days interval"
asking about pradhan mantri kisan maandhan yojana,"told him to contact karabi chatia	vill.: duliajan, gp : duliajan, block : tengakhat, p.o. : duliajan, dist. : dibrugarh, assam - 78660	8473957142"
asking about the foliar application of fertilizer in sali paddy.,told him to apply npk @ 10 g per liter of water.
asking about feed management of pig,"recommended to1. it should be provided maize , grains , soyabean ,cabages and others vegetables 
2. vaccination and deworming should be regularly as per schedule 
3.mineral mixture , vitamin, livertonic shoud be provide like minfa gold @ sig to be given 30-40 gm daily orally , grow cal-d3 @ sig to be given 15 ml daily orally , liv-50 @ sig to be given 5 ml daily orally before food"
asking about quail,"recommended to care of quail chicks
the hatch weight of quail chicks is 6-7 g. they can be brooded either on deep litter or in battery brooders. however brooding the quail chicks in cages up to end of 3 weeks of age reduces initial mortality considerably. 
the floor space suggested is 75 cm2/chick under the hover and 75 cm2/chick as run space. the brooder temperature recommended is 37oc at the beginning and this should be reduced at 2.7oc per week until the chicks are 4 weeks of age, by which time the quails would have grown their feathers very well. during brooding, water should be given in shallow dishes filled with marbles or pebbles to prevent quail chicks from drowning. the marbles or pebbles can be removed when the chicks are about 2 weeks of age. 
the feeder space and water space recommendations are 2 and 1 linear cm per quail chick respectively. quail chicks can be fed with a mash containing 27% protein and 2750 k cal / kg of me up to end of 3 weeks of age and a mash containing 24% protein and 2750 k cal/kg of me from 4th week of age. maximum care has to bestow during the first two weeks "
asking about pm kisan maan dhan scheme.,"told him it is a central govt. scheme. applicant should be between 18 to 40 years with maximum land holding of 15 bigha. they have to deposit a fix amount according to his age and after attaining 60 years, they will get 3000 rs per month.
contact-raktim buragohain	vill.: sensowa pukhuri, gp : halodhibari, block : khowang, p.o. : sensowa pukhuri, dist. : dibrugarh	9859165183"
asking about the pm kisan maan dhan yojana,"visit csc-common service center in block, contact with vle -village level extension for further online process of the scheme.
pension of 3000/- is paid to the subscriber at attaining age of 60 years. 
50% for wife in case of any unusual circumstances.
important documents =
-aadhar card
-farmers details
-bank documents details
-land documents
-for married person-spouse name and bank details, date of birth
-i d proof like pan card etc
eligible criteria-
-age group from 18 to 40 years 
-land should not more than 15 bigha 
-no govt job holder/ retired/ income tax payer etc
-for varying age group , the amount of premium will be different like from rs.55 to 200/-
"
wanted to know about pradhan mantri mandhan yojana.,explained him that the scheme is for  farmer of 18 to 40 years.he have to pay 90 rs per month up to 60 years since he is 24 year old and asked him to contact community service center 
asking about pm kisan man dhan yojana ,"told him that it is a pension scheme under which an amount of rs 3000 will be deposited on monthly basis after attaining the age of 60 yrs. age of registration is 18 -40yrs documents required are land documents (less than 15 bigha), bank pass book, bani ifsc code, spouse name & dob, aadhar card. monthly contribution of rs 185 will be required to pay from your end. ineligible condition- person who are inservice in any govt. or private sector or any local self govt. are not allowed to avail the scheme. visit nearest common service centre of your village"
asking about the stem borer infestation in paddy,"suggestion-
apply tricel 20 ec@ 2ml / l of water, 3 spray at 5 days interval ( paddy- stem borer).
varieties for black gram-t 9, t 27, t-122, kolong etc.
apply saaf @ 2gm / l of water, 3 spray at 5 days interval, apply during rain free day ( betelvine)"
asking about pm kisan maan dhan yojana.,"told him it is a central govt. scheme. age limit of the applicant is 18-40 years. landholding should be less than 15 bighas. applicants have to give premium and after attaining 60 years, they will get rs 3000 per month. 
contact- satyajit gogoi	hudupara village ,	9401810018
deepak halder	near santipur gaon paonchayat compound	8876119439"
asking about the pm kisan maan dhan yojana,"visit csc- common service center, contact with vle- village level extension for further online process process of the scheme.
benefits-= 3000/- per month pension after attaining the age of 60 years.
50 % for wife in case of unusual circumtances of the subscriber / farmer.
eligibility criteria= a person should not belong to govt service/ retired/ income tax payer
- specially for small and marginal farmer , should not posses more than 15 bigha of land.
important documents=
farmers/ spouse name
farmers/ spouse date of birth
bank account number 
ifsc/ micr code 
mobile number
aadhar number
other farmers informations available in the passbook."
asking about the stem borer infestation in paddy field," suggestion=apply profex super @ 2ml / l of water , 3 spray at 5 days interval, spray either in morning or evening"
asking about pm kisan maan dhan yojana. asking about ,"told that rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details."
asking about pm kisan maan dhan yojana,"told that rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details.
for further details contact vle of common service center lahoal, pinky saikia dutta 9954089594, santosh chakraborty 9854437562"
asking about sowing time for bitter gourd,told him that the sowing time is from june-july month
asking about pm kisan maan dhan yojna	,"told him about pm kisan maan dhan yojna- rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details. for further details contact vle of common service center
"
asking about pm kisan man dhan yojana ,"told him that it is a pension scheme under which an amount of rs 3000 will be deposited on monthly basis after attaining the age of 60 yrs. age of registration is 18 -40yrs documents required are land documents (less than 15 bigha), bank pass book, bani ifsc code, spouse name & dob, aadhar card. monthly contribution will be required to pay from your end. ineligible condition- person who are inservice in any govt. or private sector or any local self govt. are not allowed to avail the scheme. visit nearest csc for registration"
asking about the pm kisan maan dhan yojana,"visit csc- common  service center, contact with  vle - village level extension. 
benefits= 3000/- pension per month after attaining age of 60 years .
eligibility criteria= a person can apply this scheme from  age 18 to 40 years.
-- specially for small and marginal farmer , land holding should not more than 15 bigha.
--a person should not posses any govt job/ retired person/ any income tax payer .
important documents=
- aadhar card, farmers name and identity proof like pan card, voter card etc
- if married, spouse name and date of birth and other details.
-bank passbook, ifsc code , mobile number etc
-land documents etc.
varying age group will have to pay different amount of premium from 55 /- to rs. 200 /-  "
asking about fertilizer dose of rice.,"suggested to apply urea 10 kg, dap 6 kg and mop 4 kg per bigha. urea should be applied in split doses. 5 kg urea during final land preparation, 2.5 kg urea 1 month after transplanting and 2.5 kg urea 3 months after transplanting."
asking about control of soft rot or rhizome rot in ginger,"recommended him that  once the disease is located in the field, removal of affected clumps and drenching the affected and surrounding beds with saaf @ 2g/lit of water and to spray 3 time at 5 days interval to checks the spread of the disease."
asking about control of blast in rice ,"recommended to spray bavistin (carbendazim ) @  2gm/l water , 3 spray at 5 days interval

also top dress urea@ 5kg per bigha "
asking about fungal infection in chilli and variety name of cowpea,"recommended to spray amister @2ml/l water , 3 spray at 5 days interval.

for cowpea , pusa barsati is suitable for assam condition "
asking about the control of insects in rice ,told him to spray tricel 20 ec @ 2ml / l of water
asking about pm kisan man dhan yojana,"told him that rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details. for further details contact vle of common service center."
asking about pm kisan man dhan yojana,"told him that it is a pension scheme under which an amount of rs 3000 will be deposited on monthly basis after attaining the age of 60 yrs. age of registration is 18 -40yrs documents required are land documents (less than 15 bigha), bank pass book, bani ifsc code, spouse name & dob, aadhar card. monthly contribution will be required to pay from your end. ineligible condition- person who are inservice in any govt. or private sector or any local self govt. are not allowed to avail the scheme. visit nearest csc for registration. contact:pinky saikia dutta	vill.: banipur, gp : hiloidari, block : lahowal, p.o. : banipur, dist. : dibrugarh, assam - 786002	9954089594, ``"
asking about pm kisan maan dhan yojana.,"told him it is a central govt. scheme. age limit of the applicant is 18-40 years. landholding should be less than 15 bighas. applicants have to give premium and after attaining 60 years, they will get rs 3000 per month. 
contact- pradyut rajkhowa	natun tekela gaon	9954207741
"
asking about control od paddy stem borer,recommended him to apply tricel 20 ec @ 2ml/lit of water spray 3 time at 5 days interval
asking about the control of anthrac nose in betel vine.,told him to apply bordeaux mixture @ 10 g per liter of water at an interval of 7 days for 2 times.
asking about control for trips in paddy,"suggested to spray tricel 20 ec @ 2ml/litre water,2 sprays at an interval of 5 days"
asking about control remedy for fungal rot in chilli,"suggested to spray indofil m 45 @2ml/litre , 2 sprays at an interval of 5 days"
asking for veterinary expert,veterinary expert is on another line
asking about disease management of cow (lamness and high teperature ),recommended to 1. unizif 50 ml @ sig to be inj 10ml daily i/m ly for 5 days or intacef tazo 500mg @ sig to be inj 1 vial daily i/m or i/v for 5 days  2. melonex plus 30ml @ sig to be inj 7 ml daily i/m ly for 3 days or paracetamol bolus @ sig to be given 2 bolus daily orally for 3 days 
asking about the pm kisan maan dhan yojana,"after attaining the age of 60 yrs. age of registration is 18 -40yrs documents required are land documents (less than 15 bigha), bank pass book, bani ifsc code, spouse name & dob, aadhar card. monthly contribution will be required to pay from your end. ineligible condition- person who are inservice in any govt. or private sector or any local self govt. are not allowed to avail the scheme. visit nearest csc for registration"
asking about top dressing of urea ,recommended him to top dress urea 3kg/bigha at tillering and another 3kg/bigha at the time of panicle initiation
asking about the kisan credit card,"after attaining the age of 60 yrs. age of registration is 18 -40yrs documents required are land documents (less than 15 bigha), bank pass book, bani ifsc code, spouse name & dob, aadhar card. monthly contribution will be required to pay from your end. ineligible condition- person who are inservice in any govt. or private sector or any local self govt. are not allowed to avail the scheme. visit nearest csc for registration"
asking about control for citrus trunk borer,suggested to apply malathion 50 ec @ 2ml/litre and rub it with cotton inside the holes created by the trunk borer and then block the holes with mud and also spray the malathion solution on the plant 2 times at an interval of 5 days.
asking about control of nutrient deficiency of paddy ,"recommended to apply urea @ 3 kg per bigha after 30 days of transplanting.

also foliar spray multiplex paddy special @5gm/l water at 8 days interval"
asking about nutrient application in sali paddy ,"recommended to apply urea @ 3 kg per bigha after 30 days of transplanting.

also foliar spray multiplex paddy special @5gm/l water at 8 days interval"
asking about origin of betal breed of goat and also address of krishi vigyan  kendra ,"recommended to mainly found in punjab and this breed is evolved from jamunapari breed. color is red and tan, heavily spotted on white. bucks weight 65 - 86 kg does weight 45-61 kg does yield about 1 kg milk daily, bucks may have a beard.
address and contact no---- dr. hiryanya bhattachryya   9435564391"
asking about bearing time of orange,"in case of seedlings, orange starts bearing from 5-7 years after planting."
asking about contact details of agriculture university,"told him  assam agriculture university, barbheta, jorhat, assam 785013
0376 234 0001
assam agriculture university, phone"
asking about pm man dhan joyana,"told him that a sum of rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details. for further details contact vle of common service center"
asking about pm kisan man dhan yojana,"visit csc- common service center, contact with vle- village level extension for further online process process of the scheme. benefits-= 3000/- per month pension after attaining the age of 60 years. 50 % for wife in case of unusual circumtances of the subscriber / farmer. eligibility criteria= a person should not belong to govt service/ retired/ income tax payer - specially for small and marginal farmer , should not posses more than 15 bigha of land. important documents= farmers/ spouse name farmers/ spouse date of birth bank account number ifsc/ micr code mobile number aadhar number other farmers informations available in the passbook."
asking about control of damping off,"recommended to spray copper oxychloride@2gm/l water , 3 spray at 5 days interval"
asking about buying of eggs of duck,recommended to visit the krishi vigyan kendra and also contact no 9435564391 ( dr.hirayanya k. bhattacharya)
asking about control of fruit dropping of garcinia (thekera in assamese),"suggested to spray planofix @ 1ml/5 litre water,2 sprays at an interval of 15 days
"
asking about pm kisan maan dhan yojana," told him that rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details."
"asking about the banana plantation spacing, pit size , fertiliser dose ","suggestion=
banana spacing-  1.8m* 1.8m
pit size - 45cm*45cm*45cm
fertiliser dose- urea- 210gm
                                  super - 200gm
                                  potash-550gm
method of application= urea and potash should be apply in 2  equal splits dose, one dose  after 3 month of planting and another dose at 5th month of planting.
super should be apply before the planting of banana, should be mixed with fym.
proper irrigation should be done regularly.
banana plantation / bigha required 410 t0 420 plants .
"
asking about pm kisan maan dhan yojana.,"rs.3000 will be given to the farmer who attains age of 60 years. the land holding should be below 15 bigha. the farmer should be of age 18-40 years old. a contribution has to be given per month varying from amount rs.55 to rs.200 depending upon the age. the registration is free and has to be done in common service centers of their respective block. documents that have to be carried are aadhaar card, bank passbook, land details."
