questions,answers,clean_question,clean_answer
"asking about species of earthworm for vermicomposting 
","
species like eudrilus eugenia and eisinia foetidia

procure form kvk dibrugarh
contact no. 9435564391",What is species of earthworm for vermicomposting?,Species like eudrilus eugenia and eisinia foetidia procure form kvk dibrugarh contact no. 9435564391
"query regarding pm kisan registration

",visit nearest bank for further details to avail the scheme and also visit district agriculture office.,What is pm kisan registration?,Visit nearest bank for further details to avail the scheme and also visit district agriculture office.
"  query regardung two nos of piglets  showing the signs of exfoliation of skin - inject  anistamin 30 ml & enrocin 15 ml as directed ,  topicure spray as directed ","  inject  anistamin 30 ml & enrocin 15 ml ी/ म लय डेली फॉर थ्री डेज  ,  topicure spray as directed ","Query regardung two nos of piglets showing the signs of exfoliation of skin - inject anistamin 30 ml  enrocin 15 ml as directed , topicure spray as directed?","Inject anistamin 30 ml  enrocin 15 ml /       , topicure spray as directed"
"query regarding tea plantation in virgin area
","visit tea research association,dikom for further assistance",What is tea plantation in virgin area?,"Visit tea research association,dikom for further assistance"
"asking about the control of flower drop in chilli.
",apply planofix @ 1 ml per 5 liters of water at an interval of 15 days for 2 times.,What is the control of flower drop in chilli.?,Apply planofix @ 1 ml per 5 liters of water at an interval of 15 days for 2 times.
"query regarding nutrient management in chilli
","at the time of fruit set apply urea @  8 kg,mop @  12 kg per bigha .also go for foliar application of npk 19:19:19@ 10 g/l for two sprays at an interval of 15 days",What is nutrient management in chilli?,"At the time of fruit set apply urea @ 8 kg,mop @ 12 kg per bigha .also go for foliar application of npk 19:19:19@ 10 g/l for two sprays at an interval of 15 days"
"query regarding nutrient management in bottle gourd 
","at the time of fruit set apply urea @  8 kg,mop @  12 kg per bigha .also go for foliar application of npk 19:19:19@ 10 g/l for two sprays at an interval of 15 days",What is nutrient management in bottle gourd?,"At the time of fruit set apply urea @ 8 kg,mop @ 12 kg per bigha .also go for foliar application of npk 19:19:19@ 10 g/l for two sprays at an interval of 15 days"
"asking about 2 piglet that suffering from skin problem: irritation, itching, wound etc.
","treatment: 1. avil tab. 10 no.s @ 1tab orally, daily, in the evening, to each. 2.tetracyclin powder 100gm pkt. @ 1gm orally, daily, to each, 3. vimeral 120 ml @ 2tsf orally, daily, to each, 3. himax oint. 1 tube- apply externally, daily.","What is 2 piglet that suffering from skin problem: irritation, itching, wound etc.?","Treatment: 1. avil tab. 10 no.s @ 1tab orally, daily, in the evening, to each. 2.tetracyclin powder 100gm pkt. @ 1gm orally, daily, to each, 3. vimeral 120 ml @ 2tsf orally, daily, to each, 3. himax oint. 1 tube- apply externally, daily."
"  asking about control measure of coconut dropping 
",apply 40 g borax and 200 g coconut special per plant in a ring around the tree,What is control measure of coconut dropping?,Apply 40 g borax and 200 g coconut special per plant in a ring around the tree
asking about custom hiring yojana, visit to district agriculture office,What is custom hiring yojana?,Visit to district agriculture office
"asking about soil required for groundnut
","groundnut is perfectly grown in well-drained sandy loam or sandy clay loam soil. deep well-drained soils with a ph of 6.5-7.0 and high fertility, are ideal for groundnut.",What is soil required for groundnut?,"Groundnut is perfectly grown in well-drained sandy loam or sandy clay loam soil. deep well-drained soils with a ph of 6.5-7.0 and high fertility, are ideal for groundnut."
"query regarding control of downy mildew in mustard greens
",spraying of blitox/blue copper 50 @ 2 grams in 1l for three times at an interval of 5 days,What is control of downy mildew in mustard greens?,Spraying of blitox/blue copper 50 @ 2 grams in 1l for three times at an interval of 5 days
"asking about control measure of leaf curl virus of lemon
","
spray saaf @ 2 g per lit of water, 3 sprays at 4 days interval",What is control measure of leaf curl virus of lemon?,"Spray saaf @ 2 g per lit of water, 3 sprays at 4 days interval"
asking about control measure of rotting of bottle gourd,"
spray saaf @ 2 g per lit of water, 3 sprays at 4 days interval",What is control measure of rotting of bottle gourd?,"Spray saaf @ 2 g per lit of water, 3 sprays at 4 days interval"
"query regarding kcc loan 
",contact respective branch or district agriculture office,What is kcc loan?,Contact respective branch or district agriculture office
"asking about practice to improve the shape of bottle gourd fruit.
",prune the dried out branches and apply vermicompost.,What is practice to improve the shape of bottle gourd fruit.?,Prune the dried out branches and apply vermicompost.
"asking about rejuvination of lemon.
",prune the dried out branches and apply vermicompost.,What is rejuvination of lemon.?,Prune the dried out branches and apply vermicompost.
insect infestation in lemon. ,spray malathion 50 ec or killer @ 2 ml/ liter water as directed,Insect infestation in lemon.?,Spray malathion 50 ec or killer @ 2 ml/ liter water as directed
query regarding control of downy mildew in mustard greens. ,spraying of blitox/blue copper 50 @ 2 grams in 1l for three times at an interval of 5 days,What is control of downy mildew in mustard greens.?,Spraying of blitox/blue copper 50 @ 2 grams in 1l for three times at an interval of 5 days
"asking about control measure of cut worm in maize
","spray tricel 20 ec @ 2 ml per lit of water, 3 sprays at 4 days interval",What is control measure of cut worm in maize?,"Spray tricel 20 ec @ 2 ml per lit of water, 3 sprays at 4 days interval"
"asking about  registration  of mushroom farm
",go to district agriculture office for further details,What is registration of mushroom farm?,Go to district agriculture office for further details
"query regarding 100 no.s, day old chicks.
.","--make proper brooding, give lixen @1gm in 1lit. water, for 3-4 days, vit.ad3e, for 3 days, f1 vaccine at 3 or 4th days","What is 100 no.s, day old chicks. .?","--make proper brooding, give lixen @1gm in 1lit. water, for 3-4 days, vit.ad3e, for 3 days, f1 vaccine at 3 or 4th days"
"asking about control of fruit drop in chilli.
",apply planofix @ 1 ml per 5 liters of water at an interval of 15 days for 2 times.,What is control of fruit drop in chilli.?,Apply planofix @ 1 ml per 5 liters of water at an interval of 15 days for 2 times.
"asking about control measure of bacterial wilt of chili and its soil treatment
","for bacterial wilt spray streptomycin @ 1 g in 5 litres of water, 2 times at an interval of 15 days 
for soil treatment drench the soil with captan / fungicide having chemical composition of mancozeb / carbendazim @ 2 g per lit of water",What is control measure of bacterial wilt of chili and its soil treatment?,"For bacterial wilt spray streptomycin @ 1 g in 5 litres of water, 2 times at an interval of 15 days for soil treatment drench the soil with captan / fungicide having chemical composition of mancozeb / carbendazim @ 2 g per lit of water"
"query regarding a 2 month pregnant sow, suffering from vaginal sweling and vaginal discharge, since 3days ago, penicillin inj. was given yesterday."," reply: 1 continue the penicillin inj. for 2-3 days, 2. meloxicam-plus inj. @ 2-3ml i/m ly for 2-3 days.","What is a 2 month pregnant sow, suffering from vaginal sweling and vaginal discharge, since 3days ago, penicillin inj. was given yesterday.?","Reply: 1 continue the penicillin inj. for 2-3 days, 2. meloxicam-plus inj. @ 2-3ml i/m ly for 2-3 days."
"asked about control of blossom end rot in tomato
",apply calcium sulphate 1-2 kg/hectare in the soil,Asked about control of blossom end rot in tomato?,Apply calcium sulphate 1-2 kg/hectare in the soil
"asked about control of blossom end rot in tomato
",apply calcium sulphate 1-2 kg/hectare in the soil,Asked about control of blossom end rot in tomato?,Apply calcium sulphate 1-2 kg/hectare in the soil
"asking anbout dose of plantomycin and bavistin
",apply plantomycin @ 1g/5 lit of water spray alternately with bavistin @ 2g/lit of water spray 3 time at 5 days interval,Asking anbout dose of plantomycin and bavistin?,Apply plantomycin @ 1g/5 lit of water spray alternately with bavistin @ 2g/lit of water spray 3 time at 5 days interval
"asking that he has taken kcc loan now he wants account details.
",--reply: we have no that type of provision.,Asking that he has taken kcc loan now he wants account details.?,--reply: we have no that type of provision.
"asking about training in strawberry cultivation 
","contact dr. hiryanya k. bhattacharyya , krishi vigyan kendra (kvk), dibrugarh -9435564391 ",What is training in strawberry cultivation?,"Contact dr. hiryanya k. bhattacharyya , krishi vigyan kendra kvk, dibrugarh -9435564391"
"asking about varieties of brinjal
","varieties of brinjal are - pusa purple long, pusa purple cluster, pusa kranti etc.",What is varieties of brinjal?,"Varieties of brinjal are - pusa purple long, pusa purple cluster, pusa kranti etc."
query regarding varieties of cucumber.,"variety: chinese green, pusa sanyog, poinsette, aauc-1 and aauc-2, japanese long green, straight eight and poinsettee
sowing time: march – april (climbing summer crop)
 november – december (ground trailing spring crop). 
(march sowing reduces fruit fly infestation in hill zone of assam).
spacing: (row to row x plant to plant) 1.5 m x 1.2 m (for ground trailing) 
                                                                     1.2 m x 75 cm (for summer crop).
",What is varieties of cucumber.?,"Variety: chinese green, pusa sanyog, poinsette, aauc-1 and aauc-2, japanese long green, straight eight and poinsettee sowing time: march  april climbing summer crop november  december ground trailing spring crop. march sowing reduces fruit fly infestation in hill zone of assam. spacing: row to row x plant to plant 1.5 m x 1.2 m for ground trailing 1.2 m x 75 cm for summer crop."
"asking about nutrient management in chilli
",spraying of npk 19:19:19 @10 g/l of water for two times at an interval of 10-12 days,What is nutrient management in chilli?,Spraying of npk 19:19:19 @10 g/l of water for two times at an interval of 10-12 days
"asking about the control of aphid in chilli.
",apply malathion 25/50 ec or rogor @ 2 ml per liter of water at an interval of 3-4 days for 3 times.,What is the control of aphid in chilli.?,Apply malathion 25/50 ec or rogor @ 2 ml per liter of water at an interval of 3-4 days for 3 times.
"asking about planting season, pit size, planting distance  and fertilizer requirement in banana.
","planting season- march-may
pit size- 45cm, 45cm, 45cm (length, breadth and height)
planting distance- 1.8m (between row)
                                        1.8m (between plant )
fertilizer requirement- 238 g urea, 206 g ssp and 550 g mop per plant ","What is planting season, pit size, planting distance and fertilizer requirement in banana.?","Planting season- march-may pit size- 45cm, 45cm, 45cm length, breadth and height planting distance- 1.8m between row 1.8m between plant  fertilizer requirement- 238 g urea, 206 g ssp and 550 g mop per plant"
"asked about poultry farm 
",thankyou,Asked about poultry farm?,Thankyou
"query regarding white diarrhea of poultry.
",thankyou,What is white diarrhea of poultry.?,Thankyou
"query regarding control of thrips in bhoot jolokia
",spraying of fipronil 5% sc (reagent) /dimethoate 30 % ec (rogor ) @  2 ml/l of water for three times at an interval of 5 days,What is control of thrips in bhoot jolokia?,Spraying of fipronil 5 sc reagent /dimethoate 30  ec rogor  @ 2 ml/l of water for three times at an interval of 5 days
"asking about control precationary measures for control of termite
",--apply malathion 5 % dust @ 3kg/bigha ,What is control precationary measures for control of termite?,--apply malathion 5  dust @ 3kg/bigha
 query regarding some broiler showing the respiratory signs--  give ciprocolen @ 1 gm l lits of water for  for 3  days ,give ciprocolen @ 1 gm l lits of water for  for 3  days ,What is some broiler showing the respiratory signs-- give ciprocolen @ 1 gm l lits of water for for 3 days?,Give ciprocolen @ 1 gm l lits of water for for 3 days
"asking about registration of mushroom farm
","go to district agriculture office and krishi vigyan kendra for further details
kvk dibrugarh: 9435564391 (dr. hiraynya k. bhattacharya)",What is registration of mushroom farm?,Go to district agriculture office and krishi vigyan kendra for further details kvk dibrugarh: 9435564391 dr. hiraynya k. bhattacharya
"asking about control measure of chilli leaf curl virus
","spray rogor @ 2 ml per lit of water, 3 sprays at 4 days interval",What is control measure of chilli leaf curl virus?,"Spray rogor @ 2 ml per lit of water, 3 sprays at 4 days interval"
"query regarding poultry disease.
","--treatment: 1. ibd vaccine, after7-10 days r2b vaccine. 2. tetracycline powder 100gm pkt.@ 2gm in 1 lit. water, fed orally daily for 7 days.",What is poultry disease.?,"--treatment: 1. ibd vaccine, after7-10 days r2b vaccine. 2. tetracycline powder 100gm pkt.@ 2gm in 1 lit. water, fed orally daily for 7 days."
"query regarding fusarium wilt in chilli
",spray coc/blitox /blue copper 50 @ 2 g/l of water for three times at an interval of 5 days,What is fusarium wilt in chilli?,Spray coc/blitox /blue copper 50 @ 2 g/l of water for three times at an interval of 5 days
"asking about the control of fuit rot in bitter gourd.
",apply saaf or bavistin @ 2 g per liter of water at an interval of 5 days for 3 times.,What is the control of fuit rot in bitter gourd.?,Apply saaf or bavistin @ 2 g per liter of water at an interval of 5 days for 3 times.
asking about kisan credit card ,আপুনি এবাৰ বেংকত গৈ খবৰ কৰি চাওক ,What is kisan credit card?,
query regarding kcc loan.,-- take information from the bank.,What is kcc loan.?,-- take information from the bank.
"asked about npk dosages in 1 bigha of chilli

","spray n:p:k - 19:19:19 @ 5 gram /liter water 
",Asked about npk dosages in 1 bigha of chilli?,Spray n:p:k - 19:19:19 @ 5 gram /liter water
"asked about kcc
","download the kcc form from pm kisan samman nidhi website. approach any nationalized bank along with documents viz. land documents, bank details, id proof, and address proof. then contact agricultural field officer or branch manager for further process.",Asked about kcc?,"Download the kcc form from pm kisan samman nidhi website. approach any nationalized bank along with documents viz. land documents, bank details, id proof, and address proof. then contact agricultural field officer or branch manager for further process."
query regarding ectoparasite controll., spray endexor ivermectin as directed.,What is ectoparasite controll.?,Spray endexor ivermectin as directed.
"asking about subsidity ofagro shed net 
",--contact to district agriculture office or krishi vigyan kendra,What is subsidity ofagro shed net?,--contact to district agriculture office or krishi vigyan kendra
"asking about the control of fruit and shoot borer in brinjal.
",apply profex super @ 2 ml per liter of water at an interval of 3 days for 3 times.,What is the control of fruit and shoot borer in brinjal.?,Apply profex super @ 2 ml per liter of water at an interval of 3 days for 3 times.
"asking about control of bacterial  infection 
",apply streptocyclin @ 1 g/5 lit spray 2 time at 10 days interval,What is control of bacterial infection?,Apply streptocyclin @ 1 g/5 lit spray 2 time at 10 days interval
asking about micronutrient spray,apply streptocyclin @ 1 g/5 lit spray 2 time at 10 days interval,What is micronutrient spray?,Apply streptocyclin @ 1 g/5 lit spray 2 time at 10 days interval
"asking about training on crop cultivation.
","visit krishi vigyan kendra, dibrugarh.
contact no- 9435564391(dr. hiranya k. bhattacharya, programme coordinator)",What is training on crop cultivation.?,"Visit krishi vigyan kendra, dibrugarh. contact no- 9435564391dr. hiranya k. bhattacharya, programme coordinator"
"asking about pig farming
",--contact after 2 pm as our veterinary expert have duty from that time,What is pig farming?,--contact after 2 pm as our veterinary expert have duty from that time
"asking about the leaf curl disease in chilli
","spray rogor @ 2 ml/litre water,2 sprays at an interval of 5 days",What is the leaf curl disease in chilli?,"Spray rogor @ 2 ml/litre water,2 sprays at an interval of 5 days"
" query regarding some chicken [ approx body weight 500-580 gm ] showing the signs of blood stained stool - [suspected to be eimeria infestation , coccidiosis ].","give amprolium [ coccimar ] 6 gm / lits of water for 7 days , tetracycline / enrox - 1.5 gm / lits of water for 4 days , both the medicine should be given with ors containing water ","What is some chicken  approx body weight 500-580 gm  showing the signs of blood stained stool - suspected to be eimeria infestation , coccidiosis .?","Give amprolium  coccimar  6 gm / lits of water for 7 days , tetracycline / enrox - 1.5 gm / lits of water for 4 days , both the medicine should be given with ors containing water"
"asking about control measure of rotting of pumpkin
","spray saaf @ 2 g per lit of water, 3 spray at 4 days interval",What is control measure of rotting of pumpkin?,"Spray saaf @ 2 g per lit of water, 3 spray at 4 days interval"
"asking about application of micronutrient 

","spray tata tracel 2 @ 2gm/l water, at 10 days interval.",What is application of micronutrient?,"Spray tata tracel 2 @ 2gm/l water, at 10 days interval."
"asking about control of insect infestation
",apply malathion 50 ec or rogor 2ml/lit of water spray 3 time at 5 days interval,What is control of insect infestation?,Apply malathion 50 ec or rogor 2ml/lit of water spray 3 time at 5 days interval
"asking about vermicompost tank size and species

","common species are eugenia eudrilus and esinia foetida.
size of tank should be 6 feet wide and 6 feet depth and lenght as per convenience.
tank should not contain water or moisture.

apply dry water hyacinth, cowdung, vegetable peeled, straw as bedding material. spread the earthworm on the top and sprinkle water before covering with gunny bag.",What is vermicompost tank size and species?,"Common species are eugenia eudrilus and esinia foetida. size of tank should be 6 feet wide and 6 feet depth and lenght as per convenience. tank should not contain water or moisture. apply dry water hyacinth, cowdung, vegetable peeled, straw as bedding material. spread the earthworm on the top and sprinkle water before covering with gunny bag."
"asked about coconut plantation month
",coconut plantation can be done in march-april under high land condition,Asked about coconut plantation month?,Coconut plantation can be done in march-april under high land condition
"asking about sali rice variety
","varieties like ranjait , beenadhan 11",What is sali rice variety?,"Varieties like ranjait , beenadhan 11"
"asking about duration of cr dhan 505



","duration of cr dhan 505 is 140-150 days.

suitable for deep water ecosystem",What is duration of cr dhan 505?,Duration of cr dhan 505 is 140-150 days. suitable for deep water ecosystem
"asking about cr 505 paddy.
","it is a rice variety with blast, neck blast, sheath rot, sheath blight and rice tungro virus, stem borer (both dead heart and white ear heads), leaf folder, whorl maggot, submergence tolerance. yield is 4.5 t/ha. crop duration is 162 days.",What is cr 505 paddy.?,"It is a rice variety with blast, neck blast, sheath rot, sheath blight and rice tungro virus, stem borer both dead heart and white ear heads, leaf folder, whorl maggot, submergence tolerance. yield is 4.5 t/ha. crop duration is 162 days."
"asking for veterinary expert

",veterinary expert will back ,Asking for veterinary expert?,Veterinary expert will back
"query regarding availability of kisan credit card
",it takes 15 days to get the kisan credit card after application but if its taking more then 15 days then you have to contact the respective bank,What is availability of kisan credit card?,It takes 15 days to get the kisan credit card after application but if its taking more then 15 days then you have to contact the respective bank
"query regarding availablity of planting material and training of cultivation of mushroom
","contact kvk, dibrugarh - dr. hiranaya kr. bhattacharrya - 9435564391",What is availablity of planting material and training of cultivation of mushroom?,"Contact kvk, dibrugarh - dr. hiranaya kr. bhattacharrya - 9435564391"
"asking about control measure of rotting of chilli
","spray amistar @ 1.5 ml per lit of water, 3 sprays at 4 days interval",What is control measure of rotting of chilli?,"Spray amistar @ 1.5 ml per lit of water, 3 sprays at 4 days interval"
"asking about fertilizer dose of sali paddy

","fertilizer dose : urea @ 6kg, ssp @8 or dap @10kg kg and mop@2 kg.

apply half dose of urea and full dose of ssp and mop at last field preparation 3-4 days before transplanting for proper effectiveness.",What is fertilizer dose of sali paddy?,"Fertilizer dose : urea @ 6kg, ssp @8 or dap @10kg kg and mop@2 kg. apply half dose of urea and full dose of ssp and mop at last field preparation 3-4 days before transplanting for proper effectiveness."
asking about control of panama wilt in banana,recommended to spray bordeaux mixture: 100gm copper sulphate in 5l water + 100gm lime in 5l water mix the solution in 3rd bucket simultaneously.,What is control of panama wilt in banana?,You should spray bordeaux mixture: 100gm copper sulphate in 5l water  100gm lime in 5l water mix the solution in 3rd bucket simultaneously.
asking about fertilizer dose of coconut ,"for coconut apply 750gm urea, 1250gm ssp , 850gm mop and borax @50 gm per plant . apply on the base of coconut tree through ring method",What is fertilizer dose of coconut?,"For coconut apply 750gm urea, 1250gm ssp , 850gm mop and borax @50 gm per plant . apply on the base of coconut tree through ring method"
asking about the fertilizer requirement in sali rice.,"recommended him to apply 9 kg urea,  17 kg ssp and 9 kg mop per bigha of land at the time of transplanting and 9 kg of urea after 30 days of transplanting",What is the fertilizer requirement in sali rice.?,"Recommended him to apply 9 kg urea, 17 kg ssp and 9 kg mop per bigha of land at the time of transplanting and 9 kg of urea after 30 days of transplanting"
"asked about sowing time of betel vine and seed 

","betel vine time (paan) - nov-feb
seed - dr. hiranya k. bhattacharyya  - 9435564391",Asked about sowing time of betel vine and seed?,Betel vine time paan - nov-feb seed - dr. hiranya k. bhattacharyya - 9435564391
"asking about control measure of wilting and chlorosis of chilli
","spray amistar @ 1.5 ml per lit of water, 3 sprays at 4 days interval
spray npk @ 5-6 g per lit of water, 2 sprays at 15 days interval",What is control measure of wilting and chlorosis of chilli?,"Spray amistar @ 1.5 ml per lit of water, 3 sprays at 4 days interval spray npk @ 5-6 g per lit of water, 2 sprays at 15 days interval"
query regarding control of athracnose and stalk end-rot in mango,pre-harvest spraying of mancozeb 2g/lit or carbendazim 1g/lit  3 times at 15 days interval will control anthracnose and stalk end-rot,What is control of athracnose and stalk end-rot in mango?,Pre-harvest spraying of mancozeb 2g/lit or carbendazim 1g/lit 3 times at 15 days interval will control anthracnose and stalk end-rot
"asking about control measure of water logging of okra
",drainage facility should be provided,What is control measure of water logging of okra?,Drainage facility should be provided
"query regarding control of fusarium wilt in chilli
",spraying of blitox/blue copper 50 @ 2 g/l of water for three times at an interval of 5 days,What is control of fusarium wilt in chilli?,Spraying of blitox/blue copper 50 @ 2 g/l of water for three times at an interval of 5 days
"query regarding varieties
","tomato :punjab chhuhara, s-12, punjab kesri, pusa early dwarf, sioux, pusa ruby, arka abha (bwr-1), arka alok (bwr-5) and bt-1
brinjal: pusa purple cluster, borbengena, jc-1, kuchia and bwr-34. pusa kranti,pusa purple long,",What is varieties?,"Tomato :punjab chhuhara, s-12, punjab kesri, pusa early dwarf, sioux, pusa ruby, arka abha bwr-1, arka alok bwr-5 and bt-1 brinjal: pusa purple cluster, borbengena, jc-1, kuchia and bwr-34. pusa kranti,pusa purple long,"
asking about control of rice hispa ,"spray flubendiamide 20 % wg @ 2gm/l water, 3 spray at 5 days interval.",What is control of rice hispa?,"Spray flubendiamide 20  wg @ 2gm/l water, 3 spray at 5 days interval."
"query regarding few broiler of 1month old, suffering from white diarrhea.
","--treatment: 1. lixen powder @ 2gm in 1lit. water, 2. repeat ibd vaccine.","What is few broiler of 1month old, suffering from white diarrhea.?","--treatment: 1. lixen powder @ 2gm in 1lit. water, 2. repeat ibd vaccine."
query regarding control of trunk borer in citrus,prophylactic smearing with lime solution  (100 g/l of water) along with nuvan to be applied upto 1 m from the base of the trees followed by injection of 10 ml petrol into the holes and then sealed with mud and cowdung for effective control,What is control of trunk borer in citrus?,Prophylactic smearing with lime solution 100 g/l of water along with nuvan to be applied upto 1 m from the base of the trees followed by injection of 10 ml petrol into the holes and then sealed with mud and cowdung for effective control
"asking regarding poor growth of mango and low fruiting
",spraying of planofix @ 1ml/4.5 l of water after flowering  at 15 days interval enhances the fruit development and reduce the incidence of fruit drop ,Asking regarding poor growth of mango and low fruiting?,Spraying of planofix @ 1ml/4.5 l of water after flowering at 15 days interval enhances the fruit development and reduce the incidence of fruit drop
"query regarding residual effects on leaves 
","consult and visit kvk for immediate residual analysis due to the leakage of drilling rig in your area.and also consult district agriculture office ,dibrugarh.
garam bazar,dibrugarh
mobile: 9435088533",What is residual effects on leaves?,"Consult and visit kvk for immediate residual analysis due to the leakage of drilling rig in your area.and also consult district agriculture office ,dibrugarh. garam bazar,dibrugarh mobile: 9435088533"
"query regarding nutrient management in paddy
","application of urea- 7 kg,dap-5 kg,mop- 5 kg .apply urea and mop in 2 splits and full dose of dap should be applied at first split along with half dose of urea and mop
1 st split:  as top dressing at 20-30 days
 2nd split. another at 50-55 days after transplanting",What is nutrient management in paddy?,"Application of urea- 7 kg,dap-5 kg,mop- 5 kg .apply urea and mop in 2 splits and full dose of dap should be applied at first split along with half dose of urea and mop 1 st split: as top dressing at 20-30 days 2nd split. another at 50-55 days after transplanting"
"query regarding low fruiting in coconut
","application of urea-1.5 kg,ssp-2.5 kg,mop- 1.8 kg in two splits 1. march-april 2. sept. -oct 
trench size: 30 cm wide and  10 cm depth  trench should be dug at 1-1.5 cm away from the base of the plant
borax @ 25 grams and coconut special 100 grams should be applied in the first dose itself along with half dose of urea,aap,mop",What is low fruiting in coconut?,"Application of urea-1.5 kg,ssp-2.5 kg,mop- 1.8 kg in two splits 1. march-april 2. sept. -oct trench size: 30 cm wide and 10 cm depth trench should be dug at 1-1.5 cm away from the base of the plant borax @ 25 grams and coconut special 100 grams should be applied in the first dose itself along with half dose of urea,aap,mop"
asking for a plant hormone ,recomended to give planofix (1gm/5 lit) @ 2 sprays at 15 days interval,Asking for a plant hormone?,Recomended to give planofix 1gm/5 lit @ 2 sprays at 15 days interval
asking for fungal disease in litch ,recommended to give bordeux mixture ,Asking for fungal disease in litch?,You should give bordeux mixture
asking for fungal disease in bottle gourd ,"told to spray saaf (2g/l) @ 3 sprays at 5 days interval. alternative to saaf is heritage, nativo",Asking for fungal disease in bottle gourd?,"Told to spray saaf 2g/l @ 3 sprays at 5 days interval. alternative to saaf is heritage, nativo"
asking about ongoing  agri schemes,"ongoing agri schemes are pm fasal bima yojana, pm kisan and kisan credit card.
pm fasal bima yojana is a crop insurance scheme and comes in kharif crops, rabi crops and horticulture /plantation crops. premium for kharif crops is 2%, rabi is 1.5 % and horticulture crops is 5%. registration last date was 15 july 2020 but in some district last date extended till 8 august. kindly contact district agriculture office.

pm kisan is centrally funded financial assistance scheme under which rs 6000 per year is provided at 3 installments with 2000.

kisan credit card is a crop loan upto 3 lakhs given by any bank without any mortgage.",What is ongoing agri schemes?,"Ongoing agri schemes are pm fasal bima yojana, pm kisan and kisan credit card. pm fasal bima yojana is a crop insurance scheme and comes in kharif crops, rabi crops and horticulture /plantation crops. premium for kharif crops is 2, rabi is 1.5  and horticulture crops is 5. registration last date was 15 july 2020 but in some district last date extended till 8 august. kindly contact district agriculture office. pm kisan is centrally funded financial assistance scheme under which rs 6000 per year is provided at 3 installments with 2000. kisan credit card is a crop loan upto 3 lakhs given by any bank without any mortgage."
asking about veterinary expert ,wait for sometime ,What is veterinary expert?,Wait for sometime
"query regarding goat suffering from skin disease.
","treatment: 1. cipro inj. 10ml @ 2ml i/mly daily, 2. melonex plus 1o ml @ 2ml i/mly daily, 3. dexona inj. 5ml @ 1.5 ml i/m ly daily.",What is goat suffering from skin disease.?,"Treatment: 1. cipro inj. 10ml @ 2ml i/mly daily, 2. melonex plus 1o ml @ 2ml i/mly daily, 3. dexona inj. 5ml @ 1.5 ml i/m ly daily."
asking about micronutrient deficiency in rice,"--suggested to apply paddy special @2gm/ l of water, 2 spray at 15 days interval",What is micronutrient deficiency in rice?,"--suggested to apply paddy special @2gm/ l of water, 2 spray at 15 days interval"
asking about bacterial wilt control measure in tomato.,"seed treatment: apply captan @ 2 gram per kg seed.
nursery: spray captan @ 2 gram per litre of water.
main field: spray streptomycin @ 2 gram per 10 litres of water.
                      apply- asafoetida-turmeric powder( 1gm asafoetida + 5gm turmeric powder in 10 liters of water) to drench the soil 3 
                      times i.e., at 15,30 and 45 days after transplanting.",What is bacterial wilt control measure in tomato.?,"Seed treatment: apply captan @ 2 gram per kg seed. nursery: spray captan @ 2 gram per litre of water. main field: spray streptomycin @ 2 gram per 10 litres of water. apply- asafoetida-turmeric powder 1gm asafoetida  5gm turmeric powder in 10 liters of water to drench the soil 3 times i.e., at 15,30 and 45 days after transplanting."
asking about plant booster.,foliar spray of npk @ 10 gm per liter of water 2 times at 15 days interval.,What is plant booster.?,Foliar spray of npk @ 10 gm per liter of water 2 times at 15 days interval.
"asking about fish pond:  preparation  , management and feeding ","pre-stocking : apply lime -10 kg per bigha after 7-10 days use cowdung -30-40 kg per bigha , urea- 3-5 kg per bigha and ssp- 3-5 kg per bigha 
post- stocking : apply rice polish and mustard oil cake in  1:1 or floating feed ","What is fish pond: preparation , management and feeding?","Pre-stocking : apply lime -10 kg per bigha after 7-10 days use cowdung -30-40 kg per bigha , urea- 3-5 kg per bigha and ssp- 3-5 kg per bigha post- stocking : apply rice polish and mustard oil cake in 1:1 or floating feed"
"asking about control measure of stem and caseworm in paddy
","spray flubendiamide @ 2 ml per lit of water, 3 sprays at 4 days interval",What is control measure of stem and caseworm in paddy?,"Spray flubendiamide @ 2 ml per lit of water, 3 sprays at 4 days interval"
"asking about control measure to get rid off bitterness of ridge gourd
","spray succinic acid @ 1 ml in 5 lit of water, 2 sprays at 15 days interval at vegetative stage",What is control measure to get rid off bitterness of ridge gourd?,"Spray succinic acid @ 1 ml in 5 lit of water, 2 sprays at 15 days interval at vegetative stage"
"asking about control measure to get rid off bitterness of ridge gourd
","spray succinic acid @ 1 ml in 5 lit of water, 2 sprays at 15 days interval at vegetative stage",What is control measure to get rid off bitterness of ridge gourd?,"Spray succinic acid @ 1 ml in 5 lit of water, 2 sprays at 15 days interval at vegetative stage"
"asked about water quality of a pond

",apply lime - 8 kg/bigha/monthly,Asked about water quality of a pond?,Apply lime - 8 kg/bigha/monthly
"query regarding controll of downy milew in sponge gourd. 
",spray blitox/dhanucop @ 2gm in 1 lit. for 3 times at 5 days interval.,What is controll of downy milew in sponge gourd.?,Spray blitox/dhanucop @ 2gm in 1 lit. for 3 times at 5 days interval.
